---config@码表分类=主码-次显码表
---config@码表别名= 隐藏全码
燋	jnhh
澽	judu
璬	jnww
𫔎	jtjk
皦	jnbw
瀱	jidd
津	jbdy
尽	jbid
巾	jbll
劲	jbvl
谨	jbya
近	jbzj
锦	jbjj
击	jiak
寄	jibk
藉	jico
急	jidx
奇	jidk
即	jige
稽	jiho
忌	jijx
唧	jike
冀	jilb
机	jimj
嫉	jinu
及	jipn
系	jipx
级	jisj
继	jisv
辑	jiie
圾	jitj
己	jivv
记	jiyj
计	jiyu
迹	jizd
荆	jkcd
径	jkig
竟	jkle
靖	jklo
精	jkmo
晶	jkoo
兢	jkue
劲	jkvl
京	jkwx
惊	jkxx
将	jldc
讲	jlyj
煎	jmbh
兼	jmbn
渐	jmdj
减	jmdk
捡	jmfa
鞯	jmgz
肩	jmho
见	jmke
坚	jmlt
检	jmma
槛	jmmm
间	jmmo
件	jmrn
蕉	jnch
较	jnix
叫	jnkl
娇	jnnl
焦	jnrh
礁	jnuh
酵	jnyz
接	jpfn
洁	jpdk
戒	jpgc
秸	jphk
街	jpii
竭	jplv
价	jprl
界	jptl
诫	jpyc
究	jqbj
疚	jqbj
舅	jqjl
玖	jqwj
卷	jrjv
决	jtdg
决	jtdn
绝	jtsb
诀	jtyn
玦	jtwg
砄	jtug
拒	jufj
据	jufk
锯	jujk
驹	jumk
橘	jumk
局	juuk
惧	juxb
举	juxl
距	juzj
家	jxbu
稼	jxhu
钾	jxjj
加	jxlk
架	jxlm
嫁	jxnu
假	jxry
骏	jymw
君	jyyk
炅	jsoh
妗	jbnv
缙	jbso
矜	jbsv
觊	jiee
嵇	jihe
乩	jilv
骥	jimb
戟	jiug
蓟	jicd
笈	jivj
玑	jiwj
腈	jkoo
憬	jkxx
柬	jman
謇	jmbk
僭	jmro
笕	jmve
戬	jmyg
谏	jmyj
敫	jnbw
峤	jnel
铰	jnjx
醮	jnyh
桀	jpxm
诘	jpyk
炯	jshk
爝	jthc
苣	jucj
飓	jujb
琚	juwk
遽	juzu
蛱	jxij
镓	jxju
枷	jxmk
迦	jxzk
麇	jygh
赆	jbkd
芰	jicy
迳	jkzg
骱	jpgl
醵	juyu
琎	jbwz
𬣡	jmyj
𬂩	jxmj
诳	klyw
闿	kdmj
匼	kekk
炌	kdhl
𫠆	kvur
硁	kgug
竘	kzlk
咖	kakk
考	kclv
客	kebk
渴	kedv
颗	kegr
科	kehu
棵	kemg
坷	ketk
刻	kewd
炕	khhj
馗	kvjz
会	kkrs
枯	kumk
叩	kzke
阔	komk
坑	kgtj
窟	kubi
矼	ksug
咯	kakk
尻	kcuj
铪	kejk
恪	kexk
贶	klke
匡	klkw
刳	kudd
喾	kuxk
睽	kvot
逵	kvzt
垲	kdtj
悝	lixl
崚	lkew
箓	luvu
蓠	licd
舻	luvu
鲡	lial
苈	licl
呖	likl
蠃	lowf
朸	liml
坽	lkts
昽	lsol
珕	liwl
梠	lvmk
倞	llrx
浬	lidl
浰	lidd
悢	llxl
桹	lhml
𫘧	lumu
凓	lidm
溇	lzdn
勠	luxl
憭	lnxx
澪	lkds
簕	levl
翷	lbmx
髎	lngp
聋	lsle
喇	lakd
酪	lcyk
冷	lgds
烺	lhhl
痢	libd
莉	licd
荔	licl
漓	lidd
利	lihd
