---config@码表分类=主码-次显码表
---config@码表别名= 隐藏全码
遂	svzu#序14879
飕	szjy#序14870
溚	tadk#序13688
溻	tadx#序13658
铊	tajb#序13657
榻	tamx#序13656
遢	tazx#序13655
涛	tcdc#序13684
讨	tcyc#序13683
铽	tejx#序13640
溏	thdk#序13693
铴	thjp#序13639
趟	thtk#序13682
羰	thyh#序13654
锑	tijp#序13653
嚏	tikr#序13652
悌	tixp#序13651
醍	tiyr#序13650
遆	tizj#序13689
郯	tjhe#序13649
袒	tjpd#序13648
贪	tjrr#序13681
坦	tjtd#序13680
碳	tjuh#序13685
覃	tjxu#序13647
谈	tjyh#序13659
谭	tjyu#序13679
汀	tkdd#序13677
烶	tkhz#序13690
䗴	tkiz#序13686
听	tkkj#序13678
町	tktd#序13646
霆	tkyz#序13645
栝	tmmk#序13692
腆	tmob#序13675
恬	tmxk#序13676
铫	tnjd#序13695
龆	tnvk#序13638
拓	tofu#序13674
驼	tomb#序13673
椭	tomo#序13672
彤	tsdp#序13671
铜	tsjk#序13670
同	tskk#序13669
哃	tskk#序13691
桐	tsmk#序13668
㛚	tsny#序13694
瞳	tsol#序13667
恸	tsxl#序13643
酮	tsyk#序13644
涂	tudh#序13660
钍	tujt#序13642
图	tukd#序13666
土	tuua#序13665
酴	tuyh#序13637
途	tuzh#序13664
颓	tvhr#序13663
煺	tvhz#序13641
蜕	tvie#序13662
忳	tyxt#序13687
头	tzdd#序13661
痧	uabu#序13114
挲	uadu#序13113
沙	uadu#序13153
杉	uamp#序13152
鞘	ucgo#序13144
稍	ucho#序13151
筲	ucvo#序13167
艄	ucvo#序13112
少	ucxp#序13150
厍	ueii#序13111
舌	ueqk#序13149
畬	uert#序13157
深	ufdm#序13147
棽	ufmv#序13158
甚	ufqv#序13146
什	ufru#序13145
伸	ufru#序13143
绅	ufsu#序13142
甡	ufuu#序13161
砷	ufuu#序13110
珅	ufwu#序13085
慎	ufxb#序13141
诜	ufye#序13109
渑	ugdd#序13108
嵊	ugen#序13086
牲	ugnu#序13140
胜	ugou#序13139
眚	uguo#序13084
圣	ugyt#序13138
殇	uhdp#序13107
汤	uhdp#序13148
熵	uhhk#序13106
埫	uhtk#序13160
墒	uhtk#序13105
尚	uhxk#序13137
裳	uhxy#序13136
事	uial#序13135
䴓	uian#序13164
实	uibd#序13134
蓍	uico#序13104
浉	uidj#序13163
湜	uidr#序13168
拾	uifk#序13133
炻	uihu#序13103
轼	uiig#序13102
鼫	uiju#序13156
嗜	uiko#序13087
驶	uimu#序13132
襫	uipb#序13155
祏	uipu#序13162
舐	uiqu#序13101
使	uirl#序13131
螫	uiti#序13100
蚀	uiui#序13130
虱	uivi#序13099
市	uiwj#序13129
式	uiyg#序13128
芟	ujcy#序13097
潸	ujdo#序13096
扇	ujhx#序13127
闪	ujmr#序13154
埏	ujtz#序13165
舢	ujve#序13095
鄯	ujye#序13098
善	ujyk#序13126
蟀	ukiu#序13125
蒴	uoco#序13094
烁	uohl#序13124
澍	uudc#序13093
沭	uudu#序13092
隃	uued#序13159
秫	uuhu#序13166
黍	uuhu#序13091
输	uuid#序13123
殳	uujy#序13083
竖	uull#序13122
数	uumw#序13121
姝	uunv#序13090
暑	uuoo#序13120
倏	uurq#序13089
属	uuuy#序13119
书	uuvd#序13118
述	uuzu#序13117
谁	uvyf#序13116
绶	uzsy#序13088
熟	uzwh#序13115
拃	vafv#序13336
炸	vahv#序13313
轧	vaiv#序13312
喳	vakd#序13311
吒	vakq#序13241
柞	vamv#序13337
榨	vamv#序13310
霅	vayk#序13316
召	vcdk#序13309
找	vcfg#序13308
肇	vchy#序13307
棹	vcmu#序13263
朝	vcuo#序13306
笊	vcvv#序13262
诏	vcyk#序13261
窄	vdbv#序13314
砦	vdvu#序13236
折	vefj#序13305
疹	vfbp#序13304
蓁	vfch#序13260
溱	vfdh#序13258
