---config@码表分类=主码-1
---config@码表别名= 符号编码
扌	ofpp#序15824
攵	ofpp#序15831
氵	ofpp#序15823
灬	ofpp#序15851
犭	ofpp#序15829
疒	ofpp#序15834
礻	ofpp#序15825
纟	ofpp#序15822
肀	ofpp#序15833
艹	ofpp#序15849
虍	ofpp#序15841
衤	ofpp#序15817
讠	ofpp#序15818
辶	ofpp#序15847
钅	ofpp#序15838
阝	ofpp#序15844
饣	ofpp#序15826
à	ofpy#序15808
á	ofpy#序15810
è	ofpy#序15799
é	ofpy#序15801
ê	ofpy#序15803
ì	ofpy#序15795
í	ofpy#序15797
ò	ofpy#序15804
ó	ofpy#序15806
ù	ofpy#序15786
ú	ofpy#序15788
ü	ofpy#序15790
ā	ofpy#序15811
ē	ofpy#序15802
ě	ofpy#序15800
ī	ofpy#序15798
ō	ofpy#序15807
ū	ofpy#序15789
ǎ	ofpy#序15809
ǐ	ofpy#序15796
ǒ	ofpy#序15805
ǔ	ofpy#序15787
ǖ	ofpy#序15794
ǘ	ofpy#序15793
ǚ	ofpy#序15792
ǜ	ofpy#序15791
ァ	ofrd#序16038
ア	ofrd#序16037
ィ	ofrd#序16036
イ	ofrd#序16035
ゥ	ofrd#序16034
ウ	ofrd#序16033
ェ	ofrd#序16032
エ	ofrd#序16031
ォ	ofrd#序16030
オ	ofrd#序16029
カ	ofrd#序16028
ガ	ofrd#序16027
キ	ofrd#序16026
ギ	ofrd#序16025
ク	ofrd#序16024
グ	ofrd#序16023
ケ	ofrd#序16022
ゲ	ofrd#序16021
コ	ofrd#序16020
ゴ	ofrd#序16019
サ	ofrd#序16018
ザ	ofrd#序16017
シ	ofrd#序16016
ジ	ofrd#序16015
ス	ofrd#序16014
ズ	ofrd#序16013
セ	ofrd#序16012
ゼ	ofrd#序16011
ソ	ofrd#序16010
ゾ	ofrd#序16009
タ	ofrd#序16008
ダ	ofrd#序16007
チ	ofrd#序16006
ヂ	ofrd#序16005
ッ	ofrd#序16004
ツ	ofrd#序16003
ヅ	ofrd#序16002
テ	ofrd#序16001
デ	ofrd#序16000
ト	ofrd#序15999
ド	ofrd#序15998
ナ	ofrd#序15997
ニ	ofrd#序15996
ヌ	ofrd#序15995
ネ	ofrd#序15994
ノ	ofrd#序15993
ハ	ofrd#序15992
バ	ofrd#序15991
パ	ofrd#序15990
ヒ	ofrd#序15989
ビ	ofrd#序15988
ピ	ofrd#序15987
フ	ofrd#序15986
ブ	ofrd#序15985
プ	ofrd#序15984
ヘ	ofrd#序15983
ベ	ofrd#序15982
ペ	ofrd#序15981
ホ	ofrd#序15980
ボ	ofrd#序15979
ポ	ofrd#序15978
マ	ofrd#序15977
ミ	ofrd#序15976
ム	ofrd#序15975
メ	ofrd#序15974
モ	ofrd#序15973
ャ	ofrd#序15972
ヤ	ofrd#序15971
ュ	ofrd#序15970
ユ	ofrd#序15969
ョ	ofrd#序15968
ヨ	ofrd#序15967
ラ	ofrd#序15966
リ	ofrd#序15965
ル	ofrd#序15964
レ	ofrd#序15963
ロ	ofrd#序15962
ヮ	ofrd#序15961
ワ	ofrd#序15960
ヰ	ofrd#序15959
ヱ	ofrd#序15958
ヲ	ofrd#序15957
ン	ofrd#序15956
ヴ	ofrd#序15955
ヵ	ofrd#序15954
ヶ	ofrd#序15953
ー	ofrd#序15952
ヽ	ofrd#序15951
ヾ	ofrd#序15950
ぁ	ofrx#序15939
あ	ofrx#序15938
ぃ	ofrx#序15937
い	ofrx#序15936
ぅ	ofrx#序15935
う	ofrx#序15934
ぇ	ofrx#序15933
え	ofrx#序15932
ぉ	ofrx#序15931
お	ofrx#序15930
か	ofrx#序15929
が	ofrx#序15928
き	ofrx#序15927
ぎ	ofrx#序15926
く	ofrx#序15924
ぐ	ofrx#序15923
け	ofrx#序15922
げ	ofrx#序15921
こ	ofrx#序15920
ご	ofrx#序15919
さ	ofrx#序15918
ざ	ofrx#序15917
し	ofrx#序15916
じ	ofrx#序15915
す	ofrx#序15914
ず	ofrx#序15913
せ	ofrx#序15912
ぜ	ofrx#序15911
そ	ofrx#序15910
ぞ	ofrx#序15909
